,Algorithm,Descriptor,Group,R2,RMSE,MSE,RPD,MAE,Explained Var
12,Ada,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.8153912184824551,2.7579213588995373,7.606130221874271,2.327414963069771,2.244060522134429,0.8208259049038906
13,PLS,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.8149550634979649,2.6360877152906927,6.9489584427065045,2.3246704607786213,2.0214334980243818,0.8257124410477158
14,PLS,"('_moran_autocorrelation', '_transition')","Autocorrelation,CTD",0.8141495887950473,2.8098289113712234,7.895138511177592,2.319627435970493,2.261682732328095,0.8169474738439899
15,PLS,"('_moran_autocorrelation', '_ctd')","Autocorrelation,CTD",0.8127273238505571,2.751234188729099,7.569289561231863,2.3108023028697686,2.2707066881864666,0.8269713370400749
16,PLS,"('_dipeptide_composition', '_composition')","Composition,CTD",0.8078892915157916,2.6866512898973256,7.2180951535069635,2.2815196479848914,2.063092687211692,0.8160436485019966
17,RF,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.8075254603296285,2.5627652554841993,6.5677657547169925,2.2793622700596625,2.000660377358496,0.8104717872178114
18,PLS,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.8065701097051488,2.9569303880618727,8.743437319843737,2.2737264151101426,2.3554471811475466,0.8069553662317634
19,SVR,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.8059539130786945,2.6394406406693083,6.966646895616809,2.2701134162275096,2.1928333968626896,0.8062843210861137
20,PLS,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.8041395503088558,2.642998954182961,6.9854434718122285,2.259574299197743,2.109600868536525,0.8050419851441871
21,RF,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.8034242538507977,2.6604745959079743,7.0781250754716964,2.2554595024448583,2.0870754716981144,0.8044979434663339
22,PLS,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.8008089534457429,2.7741571382119856,7.695947827492516,2.2406039295381466,2.2043214757888543,0.8028721845012898
23,Bag,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.7997982923821471,2.326335688555944,5.4118377358490575,2.2349412498262806,1.7709433962264147,0.8010579397434674
24,Ada,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7977490184234065,2.7947221868541496,7.8104721016948435,2.223589839925,2.15658688730173,0.7977500897190202
25,PLS,"('_tripeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7956020237571758,2.9903277418699776,8.9420600037972,2.2118807259225943,2.36897418661189,0.8224110384244391
26,RF,"('_aa_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7949527459015608,2.487535754934089,6.1878341320755075,2.208376012217625,2.030320754716987,0.7963071488970942
27,RF,"('_ctd', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.790000606369425,2.9002130988718635,8.41123601886794,2.182182052858571,2.3254528301886825,0.7950093790612829
28,Bag,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7895379729011671,2.941425979427806,8.65198679245283,2.1797823186417213,2.482830188679246,0.7988829213478474
29,Ada,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.7892113868965459,2.8148919616552885,7.923616755791556,2.1780930377489307,2.281918419294197,0.7903354448782108
30,Ada,"('_ctd', '_transition')","CTD,CTD",0.7890853051856662,2.7730382319236777,7.689741035710398,2.177441924392946,2.219379220071493,0.7890942129067875
31,PLS,"('_dipeptide_composition', '_distribution')","Composition,CTD",0.7878177912064608,2.664226520678295,7.098102953485572,2.1709284843283583,2.073282411623471,0.7892386178483118
32,PLS,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7871015890348072,2.6208742662513043,6.868981919498311,2.1672738456663927,2.04545794010892,0.7941373296400849
33,RF,"('_dipeptide_composition', '_distribution')","Composition,CTD",0.7856966536907426,2.7944110831956683,7.808733301886789,2.1601580293971625,2.0929622641509447,0.7881390453062451
34,PLS,"('_dipeptide_composition', '_transition')","Composition,CTD",0.7856202127133232,2.7323677850954216,7.46583371302726,2.1597728734190738,2.376385499333529,0.7869956742000064
35,Ada,"('_moran_autocorrelation', '_composition')","Autocorrelation,CTD",0.7851549066616437,2.763516205651348,7.6370218188976216,2.15743281507895,2.0448802041711414,0.7919632103237193
36,RF,"('_composition', '_conjoint_triad')","CTD,Conjoint Triad",0.7827322801686977,2.7853311310208677,7.758069509433985,2.145370955299083,2.178113207547175,0.7838639381373113
37,PLS,"('_ctd', '_pseudo_aa_composition')","CTD,Pseudo Composition",0.7819586707711206,2.930945019470037,8.590438707156219,2.1415616915035858,2.371222336785616,0.7819646422811265
38,RF,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7814090374079368,3.048053396749145,9.290629509434,2.138867585140793,2.438150943396232,0.7973066055778953
39,PLS,"('_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7811646167951976,2.5002067694135732,6.251033889821455,2.1376727843370182,1.9108328592153936,0.7851713407319314
40,Ada,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7790385311704775,2.7051267104313266,7.317710519489012,2.1273636092002266,2.0489329230269355,0.7883359595428922
41,PLS,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7788202379331488,2.644760407575089,6.994757613476748,2.12631354990999,2.1302387787697747,0.7815894989889904
42,PLS,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7767322958769061,2.7924476824351188,7.797764059137267,2.116347827669737,2.2500616695052145,0.7941622211384262
43,SVR,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7763819044729262,2.395023197064438,5.73613611447676,2.1146891050160432,1.9810102066921709,0.7764582949514078
44,PLS,"('_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7756285785132204,2.8353601483877706,8.03926717106552,2.111136090993549,2.1574463003688193,0.7756903096724583
45,SVR,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7750671400126701,2.501042237716273,6.2552122748408205,2.1084997184680687,2.052810464993276,0.7779440176719509
46,Ada,"('_dipeptide_composition', '_transition')","Composition,CTD",0.7748268228292002,2.737774323560032,7.495408246744588,2.1073742647415337,2.108878753014332,0.774840660440296
47,PLS,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7733658756743479,2.7413992517859684,7.515269857692669,2.100570920046916,2.2248815421952086,0.796549400913227
48,Ada,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7730897006050873,2.883763517968288,8.316092027564839,2.0992922166393595,2.4946289380100604,0.773396651673785
49,SVR,"('_tripeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7730013821731906,2.790659190650981,7.787778718364789,2.098883790729184,2.1307739140287576,0.7754194387097628
50,PLS,"('_aa_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7728670429631845,2.533168345442126,6.4169418663499975,2.0982629999411366,2.0809794025238326,0.7861512567422865
51,RF,"('_tripeptide_composition', '_transition')","Composition,CTD",0.7726991990189976,2.5081265841787497,6.2906989622641625,2.097488154945298,1.9247735849056635,0.7736516707031507
52,RF,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7712913489005195,3.2843939189893683,10.78724341509434,2.091022489341853,2.5407735849056623,0.7784612609022307
53,Bag,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7707944138603167,2.588685468115079,6.7012924528301845,2.0887545119622413,2.053018867924528,0.7890967483955307
54,SVR,"('_tripeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7706392595387567,2.864143851019584,8.203319999333294,2.088047908656661,2.4136964902871045,0.7711756707544356
55,RF,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7706042741876504,2.8355422362548084,8.040299773584923,2.087888677541005,2.1950943396226457,0.7841803331464459
56,Bag,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7700706118145237,2.923273559194691,8.545528301886797,2.085464292140099,2.254716981132076,0.7834975041896969
57,Ada,"('_distribution', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.7699223029366153,3.1691468658874355,10.043491857564154,2.0847920350462616,2.5229469414641037,0.7710903461664288
58,Ada,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.7689137759043319,2.5630536770940266,6.569244151665214,2.080237743230135,2.018093834679601,0.8051073537443737
59,Bag,"('_composition', '_conjoint_triad')","CTD,Conjoint Triad",0.768912014109665,2.675451293266524,7.158039622641515,2.080229813439382,2.2058490566037747,0.7715499048038921
60,Bag,"('_moran_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.7677088497764579,2.6481684663961795,7.012796226415095,2.0748354889970275,2.144528301886793,0.7687463671609035
61,SVR,"('_dipeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7676530623085445,2.5789876248395056,6.651177169075315,2.074586385720143,1.8582765298353856,0.772223364278602
62,PLS,"('_composition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7666874616437149,2.977063363476042,8.862906270151283,2.070288933534427,2.3825109955069146,0.7740711122859877
63,Bag,"('_tripeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7663529370801527,2.912139523404328,8.480556603773586,2.0688063328860937,2.3281132075471698,0.7738297591036194
64,RF,"('_geary_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7660220549015799,2.9060929162254703,8.445376037735858,2.067343004095549,2.1958490566037736,0.7682941854909784
65,PLS,"('_dipeptide_composition', '_seq_order_coupling_number')","Composition,Quasi-Sequence-Order",0.7655306331042924,2.8654639258866323,8.210883510557633,2.0651754068742934,2.128222562482461,0.7842479104036784
66,PLS,"('_geary_autocorrelation', '_amp_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7644235759319895,2.684296309923981,7.2054466794715015,2.0603171966771283,2.2965662133015265,0.7744592952890541
67,RF,"('_ctd', '_transition')","CTD,CTD",0.7640637233375519,3.1654557900072766,10.020110358490587,2.058745387931296,2.498735849056609,0.7644439527230352
68,PLS,"('_ctd', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7634667031012656,3.3759542092658616,11.397066823059891,2.0561455653317657,2.6837573339064944,0.7676631504308025
69,PLS,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7627901483985965,2.66124909993526,7.082246771906228,2.0532112684272366,2.1429681329522197,0.7663881499501872
70,SVR,"('_geary_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.762308801799253,2.572108531681372,6.615742298748104,2.051131243736836,2.0053410848062465,0.7663223190465329
71,Bag,"('_dipeptide_composition', '_distribution')","Composition,CTD",0.7612929001197062,2.6705172278326423,7.131662264150941,2.0467619362543106,2.07377358490566,0.7617119176723793
72,PLS,"('_dipeptide_composition', '_ctd')","Composition,CTD",0.7610803455198543,2.5921596493586327,6.71929164776307,2.0458512839505003,2.0438148868109085,0.7614559648143563
73,SVR,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7605699214469346,2.2670606430479965,5.139563959257196,2.0436694175640637,1.7021590082171238,0.760627046756593
74,SVR,"('_tripeptide_composition', '_normalized_moreaubroto_autocorrelation')","Composition,Autocorrelation",0.7598318286859197,2.9036494581917847,8.431180176057445,2.0405266649072127,2.2934413706385097,0.762310937195478
75,Ada,"('_normalized_moreaubroto_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7588524928080819,3.1635107258639836,10.007800112656472,2.036379008486225,2.4048219204115133,0.7588563874054362
76,RF,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.7588456109558949,2.760752201299697,7.621752716981125,2.0363499520809687,2.278377358490566,0.7589520488573683
77,RF,"('_tripeptide_composition', '_composition')","Composition,CTD",0.7587403112708528,3.0943863475533497,9.57522686792456,2.0359055131199595,2.468716981132081,0.7679794533968269
78,SVR,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7577587441528109,2.932432900447832,8.59916271562888,2.031776558330245,2.40368449645156,0.7585699738027385
79,KNN,"('_moran_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7572142515872193,3.088232076527049,9.537177358490569,2.02949695955059,2.3796226415094344,0.7787255265174556
80,SVR,"('_geary_autocorrelation', '_transition')","Autocorrelation,CTD",0.757107239272207,2.870665603829035,8.240721009007117,2.029049838167301,2.281918391075105,0.7579958055192199
81,SVR,"('_dipeptide_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7568688382916622,2.95531192153387,8.733868553560216,2.02805480712136,2.4706586392727616,0.7575230529235499
82,KNN,"('_distribution', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7563990825244263,3.1400276407868875,9.859773584905666,2.026098430718751,2.4686792452830195,0.7617912269872493
83,RF,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.7563885366134966,2.8655212209865977,8.21121186792452,2.026054575465518,2.3460566037735835,0.7594269134161086
84,Ada,"('_seq_order_coupling_number', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7561529607528945,2.9036025287522027,8.430907644976187,2.0250756731125104,2.245917070771768,0.7590790844986558
85,Bag,"('_composition', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7554900349050053,3.1410775101115083,9.866367924528307,2.0223285740594585,2.527358490566038,0.7570017390745848
86,PLS,"('_aa_composition', '_dipeptide_composition')","Composition,Composition",0.7547588215858834,2.8021749158748714,7.852184259158343,2.0193114267941232,2.115100866208909,0.7638014164116647
87,Ada,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.7546406174780457,2.9120207473871043,8.479864833212948,2.018824957399717,2.249931730040188,0.7554335663742463
88,PLS,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.7543042312161887,3.0258240161190915,9.15561097652307,2.0174424802269666,2.332695831264894,0.7547357566063005
89,KNN,"('_tripeptide_composition', '_pseudo_aa_composition')","Composition,Pseudo Composition",0.7536501438884421,3.0750290687381967,9.455803773584904,2.014762428657071,2.28,0.773003411994327
90,Bag,"('_dipeptide_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.753618827422788,3.1965293679239046,10.217799999999997,2.0146343806353664,2.4905660377358485,0.7589753538137929
91,Ada,"('_ctd', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7523838831874664,2.9588686548287098,8.754903716527863,2.009604273993676,2.4161145188885365,0.7536736712060861
92,PLS,"('_tripeptide_composition', '_composition')","Composition,CTD",0.7521503737911052,2.8162960299510087,7.931523328317815,2.008657385212986,2.3902082090930232,0.7541319781853449
93,RF,"('_seq_order_coupling_number', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7519446802666658,2.9831699487954446,8.899302943396215,2.00782439863334,2.42894339622641,0.7535140521677284
94,PLS,"('_dipeptide_composition', '_tripeptide_composition')","Composition,Composition",0.7495889324453902,2.419316741311107,5.853093494788194,1.9983577547255351,1.9156519924935635,0.7499090220289841
95,Bag,"('_normalized_moreaubroto_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.7486310797318501,3.0513136669866667,9.31051509433962,1.9945467041179024,2.480188679245283,0.7492385435132547
96,RF,"('_composition', '_amp_pseudo_aa_composition')","CTD,Pseudo Composition",0.748149765275573,3.172354797664376,10.063834962264183,1.9926398897931723,2.5551509433962334,0.755043390922052
97,RF,"('_aa_composition', '_tripeptide_composition')","Composition,Composition",0.7480369287463551,2.9859232983109654,8.915737943396234,1.992193658235397,2.412509433962265,0.7595926385312032
98,KNN,"('_ctd', '_conjoint_triad')","CTD,Conjoint Triad",0.7471522037612338,2.6961397981782693,7.269169811320755,1.9887052196618311,2.1792452830188687,0.7624776909543359
99,Bag,"('_dipeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7469832073017524,2.9602068387702043,8.762824528301886,1.9880409548988829,2.188490566037736,0.7486228914302842
100,Ada,"('_transition', '_distribution')","CTD,CTD",0.7466694779875999,3.155026787739137,9.954194031351538,1.9868095597583588,2.5250726816829534,0.749599416054938
101,Ada,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7462912598573077,3.0591727262599284,9.358537769092603,1.9853280820964896,2.3570138756343595,0.7526308828484298
102,Bag,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.7461583559191823,2.8633602769249458,8.198832075471701,1.984808284669984,2.3281132075471707,0.7592240710961016
103,KNN,"('_moran_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7456441477307527,3.003053791638054,9.018332075471696,1.9828010161102363,2.357358490566038,0.7468991582885436
104,PLS,"('_distribution', '_conjoint_triad')","CTD,Conjoint Triad",0.7450558226654941,2.8827974721123906,8.310521265217586,1.9805118771362635,2.3650488453202865,0.7452549787610645
105,Bag,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7445829967280886,3.1714257849481453,10.057941509433958,1.9786778740044824,2.5466037735849048,0.7472357917027682
106,Bag,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.7440514306132425,3.4055213215744398,11.597575471698114,1.9766221000917763,2.815283018867925,0.7443258461658848
107,Ada,"('_dipeptide_composition', '_tripeptide_composition')","Composition,Composition",0.7437858727629444,3.1257206645269733,9.770129672650944,1.9755974813393655,2.2923703083299496,0.7559822092679529
108,Ada,"('_tripeptide_composition', '_ctd')","Composition,CTD",0.7437159800541531,2.8928099342198235,8.368349315520902,1.9753280746184432,2.3788219204785017,0.7437237669330721
109,SVR,"('_aa_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7432953537889637,2.5909332774774265,6.712935248339919,1.9737090631946528,2.0393199802486657,0.7609397704605785
110,SVR,"('_geary_autocorrelation', '_composition')","Autocorrelation,CTD",0.7430624896167526,2.9831958327970947,8.899457376817951,1.9728144676376664,2.283451803868913,0.7435199850871359
111,PLS,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7427258690331571,2.841571394988855,8.074527992818908,1.971523418042076,2.255598836883361,0.7436187295711767
112,Ada,"('_geary_autocorrelation', '_seq_order_coupling_number')","Autocorrelation,Quasi-Sequence-Order",0.7416855829102376,2.7329585641971392,7.469062513618488,1.9675495447604603,2.227039532619936,0.7427968285363102
113,Ada,"('_aa_composition', '_amp_pseudo_aa_composition')","Composition,Pseudo Composition",0.7411319733416931,2.818498945972813,7.9439363084498575,1.965444539256139,2.312252023641975,0.7565310079215125
114,RF,"('_geary_autocorrelation', '_ctd')","Autocorrelation,CTD",0.7405463422909655,2.5883352812767297,6.699479528301889,1.963225114774087,2.200584905660377,0.7526332296281837
115,Ada,"('_geary_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7400388763401292,3.2200406612818733,10.368661860308602,1.9613079885490048,2.396628418137789,0.7523211053859862
116,Ada,"('_normalized_moreaubroto_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7396386409210645,3.095040776751044,9.579277409751707,1.959799917544776,2.516317294302915,0.7396387290886154
117,Ada,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7392243269210386,3.091338363178426,9.556372875658669,1.9582424576397333,2.4853569997871974,0.7392923206342301
118,Ada,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7390828324239409,3.241858844259069,10.509648766100744,1.9577114115045533,2.4730924096544413,0.7406815638489543
119,PLS,"('_geary_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7389795175150815,2.7233370724847297,7.416564810369698,1.9573239308126664,2.2294899292670927,0.7592513790745115
120,RF,"('_aa_composition', '_geary_autocorrelation')","Composition,Autocorrelation",0.7388396521692532,3.060819898790223,9.368618452830189,1.95679973475056,2.413245283018869,0.7593014926454387
121,RF,"('_moran_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7378135365748255,2.9575790871257817,8.747274056603773,1.9529668306297112,2.3754528301886793,0.7439326432064501
122,Bag,"('_dipeptide_composition', '_transition')","Composition,CTD",0.7376143647213406,3.3599314907660704,11.289139622641509,1.952225460266374,2.56,0.7379532770906492
123,SVR,"('_tripeptide_composition', '_composition')","Composition,CTD",0.7375373340392086,2.9442062514240805,8.668350450924637,1.9519389580054312,2.2958085825287724,0.7401612150568817
124,RF,"('_seq_order_coupling_number', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7363337359017884,2.9290045382186887,8.579067584905673,1.947478703392348,2.294603773584908,0.7466375949308364
125,Ada,"('_transition', '_conjoint_triad')","CTD,Conjoint Triad",0.7358106035351288,2.698573578651663,7.282299359396844,1.945549606325326,2.1703475127101006,0.7363409191493917
126,Bag,"('_aa_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7356800451309531,2.992007277258832,8.95210754716981,1.9450690538336868,2.5398113207547173,0.7360038168324077
127,Ada,"('_normalized_moreaubroto_autocorrelation', '_composition')","Autocorrelation,CTD",0.7355385123520335,2.7939292618970857,7.806040720484795,1.9445485094761643,2.276266826883108,0.7424162774115242
128,RF,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.7349972348033109,2.9699227421499783,8.820441094339651,1.942561589712899,2.318150943396231,0.7368467583642875
129,PLS,"('_quasi_seq_order', '_amp_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7348973208895702,3.0308921262804462,9.186307081148804,1.9421954915228747,2.487997481408873,0.7470624233341547
130,RF,"('_distribution', '_quasi_seq_order')","CTD,Quasi-Sequence-Order",0.7345104316176019,3.2643307557627934,10.655855283018887,1.940779826574252,2.5527547169811364,0.7346932496852594
131,Bag,"('_conjoint_triad', '_seq_order_coupling_number')","Conjoint Triad,Quasi-Sequence-Order",0.7341565921341815,2.9593653705188903,8.75784339622641,1.9394878005695408,2.305849056603772,0.7347499454822215
132,PLS,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.733995050905616,2.8481216221925205,8.111796774800553,1.9388987987024209,2.3312944127309843,0.7529918445068957
133,RF,"('_quasi_seq_order', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7339196137283174,3.1106536654560406,9.6761662264151,1.9386239279707551,2.4357358490566097,0.7368258328609926
134,SVR,"('_moran_autocorrelation', '_conjoint_triad')","Autocorrelation,Conjoint Triad",0.7333912849825199,2.8357715555745315,8.0416003154056,1.936702125317152,2.0316288630178647,0.7338570674033046
135,RF,"('_tripeptide_composition', '_moran_autocorrelation')","Composition,Autocorrelation",0.7333138990937527,3.1903651266758577,10.178429641509462,1.9364211127545767,2.4591132075471727,0.7349285610509985
136,RF,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7331244279933716,2.8674941726512198,8.2225228301887,1.9357335995067633,2.195811320754719,0.7346991045938462
137,Bag,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7321865120354834,2.8128301064136756,7.912013207547172,1.932341037370556,2.224716981132076,0.7335328177139642
138,SVR,"('_conjoint_triad', '_amp_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7305446415531601,3.3780597484156645,11.4112876638661,1.9264448817192008,2.5282672110433877,0.7522983970050827
139,KNN,"('_moran_autocorrelation', '_distribution')","Autocorrelation,CTD",0.7305350719462156,3.0256812736657035,9.154747169811314,1.9264106741432292,2.3109433962264143,0.7355515485306878
140,PLS,"('_moran_autocorrelation', '_quasi_seq_order')","Autocorrelation,Quasi-Sequence-Order",0.7303524936382773,2.9254209481680795,8.558087723980625,1.9257583774397973,2.243914465082705,0.7312666686881594
141,Bag,"('_quasi_seq_order', '_pseudo_aa_composition')","Quasi-Sequence-Order,Pseudo Composition",0.7302693511094708,3.1738976692852496,10.07362641509434,1.9254615539933213,2.5320754716981133,0.7304728099982767
142,RF,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7302249494993853,2.718841932299519,7.3921014528301825,1.92530309398918,2.067792452830185,0.7669254781383136
143,Ada,"('_conjoint_triad', '_pseudo_aa_composition')","Conjoint Triad,Pseudo Composition",0.7298325030119364,3.1278625161881086,9.783523920174606,1.9239042339606,2.5272158106225144,0.7298383685617491
144,SVR,"('_moran_autocorrelation', '_geary_autocorrelation')","Autocorrelation,Autocorrelation",0.7297681083117395,3.1378096547663508,9.845849429544929,1.9236749926653152,2.514983253623978,0.7298693176709552
145,RF,"('_dipeptide_composition', '_conjoint_triad')","Composition,Conjoint Triad",0.7279165235742759,3.1437164792466223,9.882953301886776,1.9171183141995367,2.4236415094339576,0.7292210397563592
146,Ada,"('_moran_autocorrelation', '_pseudo_aa_composition')","Autocorrelation,Pseudo Composition",0.7276224178742825,3.3221962405575005,11.03698786077439,1.9160830092654317,2.67030067843433,0.7290041340677551
147,KNN,"('_tripeptide_composition', '_distribution')","Composition,CTD",0.7272296469273438,3.2972166649841292,10.871637735849061,1.9147029970290053,2.7184905660377376,0.7591709641668158
